open,high,low,close
22988.26,23076.69,22938.33,22989.51
22989.51,23037.75,22900,23034.35
23034.35,23104,22954.97,22976.14
22976.35,23035.78,22800,22828.26
22828.26,22892.73,22783.59,22796.13
22794.39,22854.56,22754.13,22806.02
22806.02,22926.75,22775.23,22874.1
22876.87,22957.51,22863.95,22932.83
22931.23,22966.78,22839.27,22928.85
22928.85,23004.34,22905.41,22983.39
22981.3,23223.53,22980,23183.29
23182.41,23185.48,23089.58,23106.58
23106.58,23214.73,23106.58,23153.78
23153.78,23281.98,23153.66,23243.41
23244.67,23286.37,23180,23230.82
23232.46,23329,23154.7,23312.42
23313.56,23333,23201.27,23247.16
23245.57,23354.36,23236.54,23264.97
23264.97,23297,23210.57,23239.19
23239.88,23280.62,23187.62,23224.39
23223.24,23261,23193.64,23223.64
23223.64,23288.52,23190.93,23266.26
23266.22,23283.72,23152.42,23182.07
23183.19,23222,23161.03,23173.65
23173.65,23225,23160.27,23197.84
23199.5,23227.71,23181.02,23208.23
23209.9,23236.93,23141.22,23147.73
23146.94,23205,23142.6,23195.99
23194.7,23211.2,23154.25,23171.39
23171.39,23199.42,23140.02,23187.74
23187.19,23204,23166.29,23181.48
23181.71,23236.55,23177.77,23205.87
23204.77,23258.61,23182.6,23210.57
23211.45,23214.43,23100,23151.86
23153.33,23186.37,23135.9,23159.84
23158.87,23196.64,23147.09,23170.28
23170.28,23205.27,23167.37,23203.59
23203.41,23213,23171.05,23179.51
23179.5,23201.69,23160,23172.06
23171.06,23190,23150.95,23157.42
23157.42,23198,23153.59,23195.23
23195.23,23204.67,23161,23172.47
23172.47,23236.49,23166.01,23199.06
23199.06,23216.44,23180,23188.74
23189.9,23224.8,23172.2,23197.49
23197.49,23234.58,23188,23220.36
23220.36,23232.22,23187.93,23196.3
23197.36,23213.95,23172.16,23202.21
23201.18,23226.66,23185.85,23209.4
23209.4,23222.92,23143.04,23156.72
23156.72,23234.34,22982.49,23194.62
23193.86,23256.37,23100,23128.83
23130.69,23159.04,23083.69,23138.04
23138.04,23211.27,23136.3,23181.57
23180.23,23205,23145.12,23177.38
23176.2,23201.95,23159.45,23185.12
23186.32,23200,23103.03,23128.2
23129.54,23175.08,23114.65,23172.41
23174.35,23207.65,23168,23180
23179.79,23202.62,23174.67,23178.84
23178.84,23220,23147.45,23164.22
23162.99,23189.18,23151,23173.63
23173.63,23174.97,22990.01,22998.97
22998.97,23019.33,22909.52,22954.21
22954.21,23005.57,22916.22,23002.28
22999.7,23051.92,22844.62,22889.24
22889.25,22938,22854.26,22896.19
22897.84,22934.84,22878.12,22911.34
22910.32,22958.42,22903.6,22948.51
22948.51,23007.75,22940,22996.12
22996.12,23042.31,22972.2,22989.79
22988.91,23010.13,22968.65,22990.1
22990.1,23016.62,22977.02,23000.09
